model	objective	gene	status	value
./iJR904.xml	obj	G_b0523	optimal	-1.048323361835948e-15
./iJR904.xml	obj	G_b0529	optimal	0.8958133490906744
./iJR904.xml	obj	G_b0576	optimal	0.9219480950504648
./iJR904.xml	obj	G_b0583	optimal	0.9219480950504828
./iJR904.xml	obj	G_b0586	optimal	0.9219480951524066
./iJR904.xml	obj	G_b0593	optimal	0.9219480950504725
./iJR904.xml	obj	G_b0594	optimal	0.9219480950504688
./iJR904.xml	obj	G_b0595	optimal	0.9219480950504687
./iJR904.xml	obj	G_b0596	optimal	0.9219480950504672
./iJR904.xml	obj	G_b0612	optimal	0.9219480950504667
./iJR904.xml	obj	G_b0615	optimal	0.9219480950504678
./iJR904.xml	obj	G_b0616	optimal	0.9219480950504672
./iJR904.xml	obj	G_b0617	optimal	0.9219480950504639
./iJR904.xml	obj	G_b0621	optimal	0.921948095050455
./iJR904.xml	obj	G_b0638	optimal	0.9219480950504667
./iJR904.xml	obj	G_b0639	optimal	2.4282714741355403e-12
./iJR904.xml	obj	G_b0652	optimal	0.9219480950504648
./iJR904.xml	obj	G_b0653	optimal	0.921948095050477
./iJR904.xml	obj	G_b0654	optimal	0.9219480950504633
./iJR904.xml	obj	G_b0655	optimal	0.921948095050413
./iJR904.xml	obj	G_b0662	optimal	0.9219480950504619
./iJR904.xml	obj	G_b0674	optimal	0.9219480950504828
./iJR904.xml	obj	G_b0677	optimal	0.92194809505047
./iJR904.xml	obj	G_b0678	optimal	0.9219480950504685
./iJR904.xml	obj	G_b0679	optimal	0.9219480950504735
./iJR904.xml	obj	G_b0688	optimal	0.9219480950504648
./iJR904.xml	obj	G_b0692	optimal	0.9219480950504633
./iJR904.xml	obj	G_b0693	optimal	0.9219480950504815
./iJR904.xml	obj	G_b0696	optimal	0.921948095050456
./iJR904.xml	obj	G_b0697	optimal	0.9219480950504659
./iJR904.xml	obj	G_b0698	optimal	0.9219480950504658
./iJR904.xml	obj	G_b0720	optimal	-4.875478463432466e-15
