model	objective	reaction	status	value
Human-GEM.xml	obj	MAR00203	optimal	187.35363
Human-GEM.xml	obj	MAR00204	optimal	187.35363
Human-GEM.xml	obj	MAR00205	optimal	187.35363
Human-GEM.xml	obj	MAR00206	optimal	187.35363
Human-GEM.xml	obj	MAR00207	optimal	187.35363
Human-GEM.xml	obj	MAR00208	optimal	187.35363
Human-GEM.xml	obj	MAR00209	optimal	187.35363
Human-GEM.xml	obj	MAR00210	optimal	187.35363
Human-GEM.xml	obj	MAR00211	optimal	187.35363
Human-GEM.xml	obj	MAR00212	optimal	187.35363
Human-GEM.xml	obj	MAR00213	optimal	187.35363
Human-GEM.xml	obj	MAR00214	optimal	187.35363
Human-GEM.xml	obj	MAR00215	optimal	187.35363
Human-GEM.xml	obj	MAR00216	optimal	187.35363
Human-GEM.xml	obj	MAR00217	optimal	187.35363
Human-GEM.xml	obj	MAR00218	optimal	187.35363
Human-GEM.xml	obj	MAR00219	optimal	187.35363
Human-GEM.xml	obj	MAR00220	optimal	187.35363
Human-GEM.xml	obj	MAR00221	optimal	187.35363
Human-GEM.xml	obj	MAR00222	optimal	187.35363
Human-GEM.xml	obj	MAR00223	optimal	187.35363
Human-GEM.xml	obj	MAR00224	optimal	187.35363
Human-GEM.xml	obj	MAR00225	optimal	187.35363
Human-GEM.xml	obj	MAR00226	optimal	187.35363
Human-GEM.xml	obj	MAR00227	optimal	187.35363
Human-GEM.xml	obj	MAR00228	optimal	187.35363
Human-GEM.xml	obj	MAR00229	optimal	187.35363
Human-GEM.xml	obj	MAR00230	optimal	187.35363
Human-GEM.xml	obj	MAR00231	optimal	187.35363
Human-GEM.xml	obj	MAR00232	optimal	187.35363
Human-GEM.xml	obj	MAR00233	optimal	187.35363
Human-GEM.xml	obj	MAR00234	optimal	187.35363
Human-GEM.xml	obj	MAR00235	optimal	187.35363
Human-GEM.xml	obj	MAR00236	optimal	187.35363
Human-GEM.xml	obj	MAR00237	optimal	187.35363
Human-GEM.xml	obj	MAR00238	optimal	187.35363
Human-GEM.xml	obj	MAR00239	optimal	187.35363
Human-GEM.xml	obj	MAR00240	optimal	187.35363
Human-GEM.xml	obj	MAR00241	optimal	187.35363
Human-GEM.xml	obj	MAR00242	optimal	187.35363
Human-GEM.xml	obj	MAR00243	optimal	187.35363
Human-GEM.xml	obj	MAR00244	optimal	187.35363
Human-GEM.xml	obj	MAR00245	optimal	187.35363
Human-GEM.xml	obj	MAR00246	optimal	187.35363
Human-GEM.xml	obj	MAR00247	optimal	187.35363
Human-GEM.xml	obj	MAR00248	optimal	187.35363
Human-GEM.xml	obj	MAR00249	optimal	187.35363
Human-GEM.xml	obj	MAR00250	optimal	187.35363
Human-GEM.xml	obj	MAR00251	optimal	187.35363
Human-GEM.xml	obj	MAR00252	optimal	187.35363
Human-GEM.xml	obj	MAR00253	optimal	187.35363
Human-GEM.xml	obj	MAR00254	optimal	187.35363
Human-GEM.xml	obj	MAR00255	optimal	187.35363
Human-GEM.xml	obj	MAR00256	optimal	187.35363
Human-GEM.xml	obj	MAR00257	optimal	187.35363
Human-GEM.xml	obj	MAR00258	optimal	187.35363
Human-GEM.xml	obj	MAR00259	optimal	187.35363
Human-GEM.xml	obj	MAR00260	optimal	187.35363
Human-GEM.xml	obj	MAR00261	optimal	187.35363
Human-GEM.xml	obj	MAR00262	optimal	187.35363
Human-GEM.xml	obj	MAR00263	optimal	187.35363
Human-GEM.xml	obj	MAR00264	optimal	187.35363
Human-GEM.xml	obj	MAR00265	optimal	187.35363
Human-GEM.xml	obj	MAR00266	optimal	187.35363
Human-GEM.xml	obj	MAR00267	optimal	187.35363
Human-GEM.xml	obj	MAR00268	optimal	187.35363
Human-GEM.xml	obj	MAR00269	optimal	187.35363
Human-GEM.xml	obj	MAR00270	optimal	187.35363
Human-GEM.xml	obj	MAR00271	optimal	187.35363
Human-GEM.xml	obj	MAR00272	optimal	187.35363
Human-GEM.xml	obj	MAR00273	optimal	187.35363
Human-GEM.xml	obj	MAR00274	optimal	187.35363
Human-GEM.xml	obj	MAR00275	optimal	187.35363
Human-GEM.xml	obj	MAR00276	optimal	187.35363
Human-GEM.xml	obj	MAR00277	optimal	187.35363
Human-GEM.xml	obj	MAR00278	optimal	187.35363
Human-GEM.xml	obj	MAR00279	optimal	187.35363
Human-GEM.xml	obj	MAR00280	optimal	187.35363
Human-GEM.xml	obj	MAR00281	optimal	187.35363
Human-GEM.xml	obj	MAR00282	optimal	187.35363
Human-GEM.xml	obj	MAR00283	optimal	187.35363
Human-GEM.xml	obj	MAR00284	optimal	187.35363
Human-GEM.xml	obj	MAR00285	optimal	187.35363
Human-GEM.xml	obj	MAR00286	optimal	187.35363
Human-GEM.xml	obj	MAR00287	optimal	187.35363
Human-GEM.xml	obj	MAR00288	optimal	187.35363
Human-GEM.xml	obj	MAR00289	optimal	187.35363
Human-GEM.xml	obj	MAR00290	optimal	187.35363
Human-GEM.xml	obj	MAR00291	optimal	187.35363
Human-GEM.xml	obj	MAR00292	optimal	187.35363
Human-GEM.xml	obj	MAR00293	optimal	187.35363
Human-GEM.xml	obj	MAR00294	optimal	187.35363
Human-GEM.xml	obj	MAR00295	optimal	187.35363
Human-GEM.xml	obj	MAR00296	optimal	187.35363
Human-GEM.xml	obj	MAR00297	optimal	187.35363
Human-GEM.xml	obj	MAR00298	optimal	187.35363
Human-GEM.xml	obj	MAR00299	optimal	187.35363
Human-GEM.xml	obj	MAR00300	optimal	187.35363
Human-GEM.xml	obj	MAR00301	optimal	187.35363
Human-GEM.xml	obj	MAR00302	optimal	187.35363
Human-GEM.xml	obj	MAR00303	optimal	187.35363
Human-GEM.xml	obj	MAR00304	optimal	187.35363
Human-GEM.xml	obj	MAR00305	optimal	187.35363
Human-GEM.xml	obj	MAR00306	optimal	187.35363
Human-GEM.xml	obj	MAR00307	optimal	187.35363
Human-GEM.xml	obj	MAR00308	optimal	187.35363
Human-GEM.xml	obj	MAR00309	optimal	187.35363
Human-GEM.xml	obj	MAR00310	optimal	187.35363
Human-GEM.xml	obj	MAR00311	optimal	187.35363
Human-GEM.xml	obj	MAR00312	optimal	187.35363
Human-GEM.xml	obj	MAR00313	optimal	187.35363
Human-GEM.xml	obj	MAR00314	optimal	187.35363
Human-GEM.xml	obj	MAR00315	optimal	187.35363
Human-GEM.xml	obj	MAR00316	optimal	187.35363
Human-GEM.xml	obj	MAR00317	optimal	187.35363
