model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
Human-GEM.xml	obj	MAR00144	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00145	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00146	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00147	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00148	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00149	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00150	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00151	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00152	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00153	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00154	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00155	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00156	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00157	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00158	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00159	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00160	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00161	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00162	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00163	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00164	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00165	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00166	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00167	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00168	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00169	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00170	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00171	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00172	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00173	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00174	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00175	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00176	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00177	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00178	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00179	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00180	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00181	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00182	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00183	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00184	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00185	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00186	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00187	187.35363	optimal	0.0	1000.0	1.0
