model	objective	gene	status	value
iJN1463.xml	obj	PP_1628	optimal	0.586118
iJN1463.xml	obj	PP_1636	optimal	0.586118
iJN1463.xml	obj	PP_1638	optimal	0.0
iJN1463.xml	obj	PP_1645	optimal	0.586118
iJN1463.xml	obj	PP_1649	optimal	0.586118
iJN1463.xml	obj	PP_1654	optimal	0.586118
iJN1463.xml	obj	PP_1656	optimal	0.586118
iJN1463.xml	obj	PP_1657	optimal	0.586118
iJN1463.xml	obj	PP_1664	optimal	0.58502
iJN1463.xml	obj	PP_1665	optimal	0.0
iJN1463.xml	obj	PP_1672	optimal	0.0
iJN1463.xml	obj	PP_1673	optimal	0.0
