model	objective	reaction	status	value
VvuMBEL943_2022.xml	obj	R_R121	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R122	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R123	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R124	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R125	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R126	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R127	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R128	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R129	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R130	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R131	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R132	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R133	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R134	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R135	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R136	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R137	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R138	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R139	optimal	95.656099
VvuMBEL943_2022.xml	obj	R_R140	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R141	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R142	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R143	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R144	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R145	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R146	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R147	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R148	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R149	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R150	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R151	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R152	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R153	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R154	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R155	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R156	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R157	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R158	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R159	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R160	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R161	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R162	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R163	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R164	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R165	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R166	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R167	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R168	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R169	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R170	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R171	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R172	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R173	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R174	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R175	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R176	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R177	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R178	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R179	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R180	optimal	96.278033
VvuMBEL943_2022.xml	obj	R_R181	optimal	82.675673
VvuMBEL943_2022.xml	obj	R_R182	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R183	optimal	82.630562
VvuMBEL943_2022.xml	obj	R_R184	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R185	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R186	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R187	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R188	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R189	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R190	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R191	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R192	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R193	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R194	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R195	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R196	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R197	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R198	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R199	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R200	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R201	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R202	optimal	96.402322
